nsize	lsize	n	add	get	del
4	4	1	12.670	0.600	9.910
4	4	2	10.220	3.760	16.180
4	4	3	96.432	47.311	115.663
4	4	4	1160.024	660.904	1397.709
4	4	5	12654.983	8372.726	17226.660
4	6	1	11.970	0.390	7.780
4	6	2	9.750	3.931	11.260
4	6	3	77.072	45.891	88.251
4	6	4	948.239	621.553	1113.403
4	6	5	12065.491	8194.271	14911.802
4	8	1	10.410	0.450	6.960
4	8	2	10.030	3.870	11.340
4	8	3	86.022	49.941	101.302
4	8	4	1058.812	658.423	1315.328
4	8	5	13226.656	8702.791	15321.511
4	12	1	5.930	0.280	3.330
4	12	2	10.680	3.430	11.201
4	12	3	76.931	44.931	80.552
4	12	4	1073.682	583.722	1026.532
4	12	5	13135.265	8452.456	15244.039
4	16	1	7.810	0.240	3.610
4	16	2	10.411	3.350	10.830
4	16	3	76.232	44.811	77.041
4	16	4	942.220	579.262	997.181
4	16	5	13169.355	8935.856	14606.096
4	24	1	7.350	0.280	3.141
4	24	2	11.150	3.550	10.890
4	24	3	79.162	45.591	85.462
4	24	4	973.390	626.343	1076.233
4	24	5	13657.676	9344.185	15264.700
4	32	1	7.800	0.250	3.440
4	32	2	10.600	3.110	10.440
4	32	3	81.152	44.731	81.862
4	32	4	943.910	591.042	1030.791
4	32	5	12717.956	9464.378	13957.821
4	48	1	6.090	0.250	3.230
4	48	2	11.800	3.210	10.611
4	48	3	85.302	44.350	87.932
4	48	4	930.409	592.062	996.701
4	48	5	14256.228	9831.454	15461.964
4	64	1	6.581	0.270	3.100
4	64	2	11.380	3.230	11.230
4	64	3	77.961	43.151	75.822
4	64	4	964.790	579.432	998.501
4	64	5	12643.904	8844.794	12711.565
4	96	1	7.250	0.230	3.330
4	96	2	10.940	3.130	10.390
4	96	3	84.892	42.430	86.482
4	96	4	980.101	612.683	1027.901
4	96	5	13974.383	8928.687	14653.615
4	128	1	6.840	0.260	3.210
4	128	2	8.210	2.871	7.190
4	128	3	80.892	46.081	78.031
4	128	4	1020.461	573.352	976.071
4	128	5	13436.881	9015.219	12839.328
4	192	1	7.440	0.250	2.730
4	192	2	6.491	2.870	5.660
4	192	3	89.022	43.091	86.122
4	192	4	963.780	567.262	904.589
4	192	5	13289.008	8590.060	13068.482
4	256	1	6.930	0.240	1.720
4	256	2	6.930	2.970	5.581
4	256	3	77.551	40.861	71.282
4	256	4	967.940	591.203	917.909
4	256	5	13107.063	8546.509	12328.067
4	384	1	5.340	0.250	2.180
4	384	2	7.330	2.910	5.840
4	384	3	79.951	40.841	76.422
4	384	4	952.180	606.262	884.909
4	384	5	13773.468	8360.364	13030.603
4	512	1	4.490	0.271	2.020
4	512	2	7.330	3.050	5.730
4	512	3	78.302	40.011	72.311
4	512	4	1018.372	578.942	940.169
4	512	5	13818.219	8167.641	13143.055
6	4	1	5.921	0.270	3.910
6	4	2	11.220	3.280	10.890
6	4	3	88.751	45.531	109.543
6	4	4	1074.572	621.023	1487.891
6	4	5	13979.632	8662.672	19211.660
6	6	1	11.910	0.310	3.960
6	6	2	8.440	3.441	8.610
6	6	3	76.802	42.760	88.392
6	6	4	954.221	603.592	1181.294
6	6	5	14139.525	10576.650	16441.834
6	8	1	10.801	0.320	6.910
6	8	2	10.820	3.390	10.961
6	8	3	89.272	44.141	101.012
6	8	4	1074.682	600.773	1378.158
6	8	5	13694.936	8044.229	16504.674
6	12	1	7.210	0.260	3.481
6	12	2	10.480	3.210	11.940
6	12	3	78.711	42.651	85.042
6	12	4	937.110	576.202	1080.342
6	12	5	12708.555	8620.480	14803.749
6	16	1	6.651	0.270	3.220
6	16	2	9.980	3.390	10.430
6	16	3	70.641	42.591	72.391
6	16	4	873.798	584.942	1001.171
6	16	5	11868.709	8289.104	13325.067
6	24	1	6.050	0.250	3.550
6	24	2	10.000	3.080	10.781
6	24	3	77.461	43.451	83.152
6	24	4	895.929	569.292	1007.731
6	24	5	12412.779	8857.034	13906.851
6	32	1	5.140	0.280	3.030
6	32	2	9.930	3.100	11.121
6	32	3	69.391	41.191	74.712
6	32	4	889.688	575.412	962.501
6	32	5	11756.766	8977.008	13047.692
6	48	1	5.320	0.240	3.120
6	48	2	10.430	3.160	10.901
6	48	3	80.602	44.900	88.512
6	48	4	901.558	578.952	964.210
6	48	5	12026.891	8451.098	13833.398
6	64	1	6.060	0.260	3.181
6	64	2	10.190	3.110	10.850
6	64	3	72.882	42.571	71.851
6	64	4	931.119	562.412	975.880
6	64	5	12012.792	9034.849	12676.635
6	96	1	5.880	0.260	3.200
6	96	2	10.920	3.190	13.951
6	96	3	83.342	43.111	89.151
6	96	4	939.609	572.812	953.870
6	96	5	12901.229	8672.081	14205.906
6	128	1	6.990	0.260	3.080
6	128	2	7.840	2.970	6.990
6	128	3	80.071	42.821	76.882
6	128	4	954.220	553.611	972.391
6	128	5	12451.311	8472.847	12348.259
6	192	1	5.000	0.270	2.510
6	192	2	7.160	2.891	5.830
6	192	3	80.952	45.021	76.441
6	192	4	920.820	575.442	870.958
6	192	5	12627.124	8596.720	12862.540
6	256	1	5.010	0.250	1.880
6	256	2	7.631	3.000	5.660
6	256	3	76.342	39.560	79.532
6	256	4	940.460	566.531	895.139
6	256	5	12318.337	8319.845	11894.038
6	384	1	8.280	2.300	2.170
6	384	2	7.430	2.980	5.750
6	384	3	78.192	40.261	74.241
6	384	4	968.620	587.913	868.528
6	384	5	13188.556	8036.778	12570.503
6	512	1	5.070	0.260	1.970
6	512	2	7.411	2.820	5.900
6	512	3	78.632	40.580	72.682
6	512	4	1000.411	591.052	912.759
6	512	5	13554.503	7796.874	12535.531
8	4	1	5.751	0.280	3.790
8	4	2	10.380	3.120	10.860
8	4	3	81.821	45.071	104.362
8	4	4	1020.781	599.242	1369.239
8	4	5	12752.587	8329.005	16992.016
8	6	1	7.081	0.260	3.630
8	6	2	8.170	3.340	8.130
8	6	3	83.512	48.651	103.942
8	6	4	941.189	597.893	1151.514
8	6	5	11892.898	8477.588	14624.626
8	8	1	9.140	0.310	6.270
8	8	2	10.051	3.080	10.230
8	8	3	85.212	43.371	121.252
8	8	4	1012.381	595.482	1259.376
8	8	5	12594.043	8206.432	15725.278
8	12	1	7.500	0.300	3.390
8	12	2	10.590	3.300	11.050
8	12	3	77.832	42.631	80.122
8	12	4	879.958	554.562	1058.552
8	12	5	11873.729	8305.974	14263.527
8	16	1	6.851	0.250	3.230
8	16	2	9.720	3.140	10.370
8	16	3	65.731	45.481	80.421
8	16	4	831.947	545.432	954.689
8	16	5	11129.933	8217.771	12886.939
8	24	1	6.431	0.280	3.020
8	24	2	10.000	3.050	10.680
8	24	3	72.681	43.681	82.382
8	24	4	859.028	573.702	1001.121
8	24	5	11688.935	8544.729	13436.221
8	32	1	6.030	0.250	3.050
8	32	2	9.940	3.140	10.580
8	32	3	70.242	42.991	76.361
8	32	4	843.917	570.732	950.680
8	32	5	11300.097	8612.609	12710.905
8	48	1	5.470	0.260	3.240
8	48	2	11.020	3.180	13.791
8	48	3	76.871	45.541	85.722
8	48	4	871.219	562.211	927.440
8	48	5	11920.988	8164.071	13355.988
8	64	1	5.511	0.280	3.040
8	64	2	10.340	3.160	13.400
8	64	3	70.741	40.371	73.461
8	64	4	883.528	549.592	934.789
8	64	5	11328.377	8405.416	12200.814
8	96	1	6.760	0.260	3.100
8	96	2	10.420	3.150	10.500
8	96	3	85.451	42.671	87.312
8	96	4	923.280	557.661	952.540
8	96	5	12728.307	8404.186	13874.590
8	128	1	6.321	0.250	3.220
8	128	2	8.670	2.760	6.960
8	128	3	76.752	42.351	77.542
8	128	4	944.439	561.232	972.580
8	128	5	12085.563	8358.564	12178.915
8	192	1	5.820	0.250	1.971
8	192	2	7.550	2.850	5.600
8	192	3	79.682	42.321	74.611
8	192	4	968.620	589.262	869.108
8	192	5	12638.064	8253.492	12726.105
8	256	1	4.900	0.250	1.810
8	256	2	6.960	2.780	5.730
8	256	3	76.871	39.441	71.051
8	256	4	929.979	566.772	893.448
8	256	5	11943.040	8040.607	11783.217
8	384	1	5.320	0.230	2.000
8	384	2	7.330	2.940	5.800
8	384	3	80.132	40.311	75.581
8	384	4	914.210	626.313	853.427
8	384	5	12852.299	7982.196	12386.118
8	512	1	5.360	0.260	2.010
8	512	2	7.690	2.980	5.680
8	512	3	78.621	39.641	72.052
8	512	4	988.950	589.893	905.558
8	512	5	13117.374	7722.312	12387.680
12	4	1	8.550	0.260	7.350
12	4	2	9.791	3.220	10.380
12	4	3	87.942	41.781	105.692
12	4	4	1007.871	567.072	1337.958
12	4	5	12340.938	8107.738	16004.734
12	6	1	9.220	0.250	6.790
12	6	2	10.661	3.070	10.560
12	6	3	73.212	38.850	80.762
12	6	4	897.539	573.222	1112.843
12	6	5	11248.955	8137.620	14258.568
12	8	1	6.931	0.300	3.680
12	8	2	9.650	3.290	11.110
12	8	3	81.871	43.491	95.582
12	8	4	1007.080	600.613	1259.826
12	8	5	12910.250	8636.280	15794.520
12	12	1	6.300	0.290	3.320
12	12	2	7.600	3.410	8.540
12	12	3	79.692	42.761	81.041
12	12	4	883.898	625.423	1021.341
12	12	5	12655.645	8928.137	14246.968
12	16	1	5.930	0.240	3.140
12	16	2	8.191	3.120	7.910
12	16	3	66.831	40.091	76.652
12	16	4	828.947	550.672	914.069
12	16	5	11769.807	8517.768	12982.991
12	24	1	6.350	0.280	3.140
12	24	2	10.731	2.950	14.970
12	24	3	76.792	40.781	82.121
12	24	4	874.638	554.292	966.100
12	24	5	11595.482	8506.548	13145.935
12	32	1	6.070	0.280	3.050
12	32	2	10.610	3.210	11.091
12	32	3	71.581	41.421	73.722
12	32	4	862.748	554.912	1028.541
12	32	5	11395.528	8411.655	12494.102
12	48	1	6.560	0.270	3.350
12	48	2	10.430	3.330	10.590
12	48	3	77.402	41.491	86.522
12	48	4	861.358	547.081	933.150
12	48	5	11869.407	8148.690	13631.854
12	64	1	7.060	0.270	3.870
12	64	2	11.091	3.080	10.300
12	64	3	71.282	40.841	74.911
12	64	4	883.479	586.932	939.700
12	64	5	11070.561	8272.233	11938.899
12	96	1	8.720	0.240	3.110
12	96	2	10.210	3.210	10.320
12	96	3	81.742	43.591	88.122
12	96	4	921.439	551.492	940.120
12	96	5	12917.489	8281.953	13744.847
12	128	1	5.480	0.250	3.170
12	128	2	9.140	2.840	7.381
12	128	3	78.881	40.641	76.012
12	128	4	952.860	555.601	941.740
12	128	5	12132.794	8476.718	11876.599
12	192	1	4.930	0.260	1.790
12	192	2	7.061	2.930	5.710
12	192	3	79.512	40.740	75.902
12	192	4	926.319	553.582	862.878
12	192	5	12146.884	8132.811	12351.059
12	256	1	4.370	0.230	1.790
12	256	2	6.811	2.870	5.660
12	256	3	76.792	40.000	71.362
12	256	4	902.039	576.162	895.398
12	256	5	11900.519	7869.665	11503.141
12	384	1	5.680	0.230	2.050
12	384	2	7.651	2.840	5.750
12	384	3	81.742	40.371	75.851
12	384	4	931.250	561.371	873.008
12	384	5	13227.267	7978.856	12469.631
12	512	1	4.871	0.270	2.000
12	512	2	7.950	2.910	5.840
12	512	3	80.892	39.411	71.141
12	512	4	993.510	558.062	910.469
12	512	5	13416.041	9323.824	12228.686
16	4	1	10.620	0.250	6.641
16	4	2	9.780	3.180	10.450
16	4	3	80.841	41.731	101.082
16	4	4	1060.743	568.381	1273.977
16	4	5	11475.950	7698.110	15168.797
16	6	1	8.140	0.260	6.390
16	6	2	9.360	3.411	9.820
16	6	3	72.631	40.971	82.242
16	6	4	848.318	570.652	1087.042
16	6	5	11032.891	7619.668	12989.722
16	8	1	6.320	0.300	3.451
16	8	2	9.270	3.120	10.360
16	8	3	78.102	44.421	96.172
16	8	4	959.810	575.522	1243.386
16	8	5	11963.670	8134.609	15324.351
16	12	1	5.730	0.290	3.090
16	12	2	7.490	3.280	10.980
16	12	3	67.002	40.950	74.222
16	12	4	834.488	569.441	963.410
16	12	5	11329.807	8396.756	13677.065
16	16	1	5.590	0.260	3.050
16	16	2	7.940	3.120	7.621
16	16	3	66.481	40.161	73.892
16	16	4	775.086	536.521	870.338
16	16	5	10773.914	7988.147	12383.419
16	24	1	5.260	0.290	3.190
16	24	2	10.801	3.080	10.560
16	24	3	71.072	44.090	80.672
16	24	4	830.118	550.231	963.320
16	24	5	11117.572	8169.190	12986.521
16	32	1	9.360	0.270	3.271
16	32	2	10.650	3.120	11.100
16	32	3	68.771	41.691	74.511
16	32	4	812.086	534.781	958.771
16	32	5	10521.159	8191.131	12120.424
16	48	1	5.860	0.270	3.330
16	48	2	10.280	3.190	10.800
16	48	3	78.052	42.421	89.002
16	48	4	834.727	566.042	904.619
16	48	5	11051.062	7965.537	12960.940
16	64	1	6.481	0.260	3.370
16	64	2	10.510	3.090	10.380
16	64	3	72.741	41.001	73.361
16	64	4	904.209	549.411	908.629
16	64	5	10945.479	8355.765	11680.185
16	96	1	6.451	0.240	3.310
16	96	2	11.190	3.170	10.760
16	96	3	81.991	42.771	87.782
16	96	4	886.599	547.481	948.290
16	96	5	12181.744	8012.567	13471.271
16	128	1	6.271	0.250	3.490
16	128	2	8.110	2.880	7.050
16	128	3	79.242	41.541	76.601
16	128	4	911.079	548.091	932.300
16	128	5	11510.301	8064.329	11767.126
16	192	1	4.990	0.240	1.690
16	192	2	7.290	2.740	5.700
16	192	3	81.562	41.391	75.382
16	192	4	898.149	541.641	859.108
16	192	5	12560.803	8055.618	12262.376
16	256	1	4.530	0.250	1.850
16	256	2	7.340	2.900	5.651
16	256	3	79.321	43.281	70.452
16	256	4	927.069	557.552	871.358
16	256	5	12052.621	7890.035	11296.547
16	384	1	5.490	0.250	1.960
16	384	2	7.710	2.820	5.831
16	384	3	80.682	41.150	75.932
16	384	4	916.679	556.982	877.998
16	384	5	12916.610	7948.706	12263.747
16	512	1	4.850	0.280	1.861
16	512	2	8.390	2.930	5.740
16	512	3	79.662	39.481	71.381
16	512	4	960.400	571.871	903.229
16	512	5	13014.752	7887.784	12252.406
24	4	1	8.310	0.270	7.040
24	4	2	9.250	3.210	10.430
24	4	3	86.662	42.271	106.192
24	4	4	976.401	564.751	1322.118
24	4	5	11944.790	7575.948	15279.970
24	6	1	8.040	0.260	9.930
24	6	2	9.520	3.180	11.590
24	6	3	69.072	39.811	80.071
24	6	4	855.788	565.832	1067.182
24	6	5	10548.721	7988.096	13160.255
24	8	1	8.060	0.310	6.130
24	8	2	9.590	3.140	9.970
24	8	3	77.512	41.681	92.652
24	8	4	968.880	577.942	1200.006
24	8	5	11770.146	8088.819	14630.666
24	12	1	8.630	0.290	3.361
24	12	2	10.340	3.170	10.720
24	12	3	73.911	41.981	77.062
24	12	4	825.337	584.642	967.761
24	12	5	10944.608	8113.520	13180.186
24	16	1	5.740	0.250	3.190
24	16	2	9.910	3.140	10.880
24	16	3	64.232	44.241	74.891
24	16	4	781.356	574.003	904.848
24	16	5	10616.901	8180.260	12141.675
24	24	1	5.921	3.360	3.120
24	24	2	7.810	3.060	7.810
24	24	3	76.522	42.781	79.752
24	24	4	858.808	554.891	959.131
24	24	5	11308.347	8184.800	12647.135
24	32	1	6.310	0.260	3.560
24	32	2	8.170	3.110	8.281
24	32	3	70.531	41.251	69.481
24	32	4	832.257	541.701	910.439
24	32	5	10881.167	8284.153	12006.860
24	48	1	4.970	0.250	3.180
24	48	2	11.060	3.260	11.520
24	48	3	75.812	40.351	83.721
24	48	4	807.036	521.421	910.839
24	48	5	11036.921	7955.966	12820.897
24	64	1	6.220	0.280	3.331
24	64	2	11.650	3.070	10.780
24	64	3	70.871	39.381	69.601
24	64	4	876.679	559.482	931.079
24	64	5	10783.315	8393.945	11592.603
24	96	1	6.130	0.240	3.170
24	96	2	10.231	3.100	10.670
24	96	3	83.052	41.861	111.432
24	96	4	912.809	540.042	931.449
24	96	5	12441.610	8106.290	13337.499
24	128	1	5.890	0.240	3.360
24	128	2	7.711	2.790	7.010
24	128	3	80.052	40.680	74.622
24	128	4	948.190	542.991	954.520
24	128	5	11758.887	8113.589	11781.995
24	192	1	5.310	0.230	1.810
24	192	2	8.760	2.840	5.700
24	192	3	86.571	41.051	80.602
24	192	4	926.090	554.041	865.368
24	192	5	12904.730	8117.379	12300.446
24	256	1	5.501	0.250	2.060
24	256	2	8.030	2.900	5.980
24	256	3	78.762	39.591	71.421
24	256	4	928.189	565.782	886.628
24	256	5	12016.200	7857.705	11351.486
24	384	1	5.360	0.240	2.020
24	384	2	9.020	2.830	5.830
24	384	3	82.611	39.161	75.672
24	384	4	912.089	565.562	858.018
24	384	5	12874.108	7969.617	12160.644
24	512	1	5.491	0.280	1.940
24	512	2	7.240	2.920	5.830
24	512	3	79.842	39.241	75.141
24	512	4	992.660	562.932	891.529
24	512	5	13129.305	7519.376	12085.482
32	4	1	8.260	0.270	6.880
32	4	2	9.140	3.030	10.031
32	4	3	83.062	41.451	106.242
32	4	4	949.280	555.001	1203.705
32	4	5	11577.392	7939.356	14709.427
32	6	1	11.231	0.270	6.820
32	6	2	10.050	2.950	10.010
32	6	3	69.681	39.231	79.392
32	6	4	889.499	563.261	1049.002
32	6	5	10544.261	7907.795	12734.676
32	8	1	8.611	0.300	7.230
32	8	2	9.270	2.990	9.850
32	8	3	86.692	42.560	94.352
32	8	4	953.990	572.381	1209.366
32	8	5	11457.890	8186.321	14233.156
32	12	1	6.010	0.280	3.060
32	12	2	9.260	3.260	10.601
32	12	3	69.751	43.221	76.652
32	12	4	819.177	584.932	958.450
32	12	5	10670.304	8502.247	12981.542
32	16	1	5.890	0.240	3.190
32	16	2	9.370	2.950	10.730
32	16	3	65.811	39.821	75.311
32	16	4	762.916	541.831	880.598
32	16	5	10112.040	7671.710	11886.318
32	24	1	5.190	0.260	3.220
32	24	2	8.890	3.191	7.740
32	24	3	74.071	40.921	80.502
32	24	4	853.238	558.452	965.450
32	24	5	11278.556	8157.430	12610.624
32	32	1	6.080	0.260	3.201
32	32	2	8.660	3.060	7.550
32	32	3	66.142	40.801	69.261
32	32	4	803.117	527.231	917.339
32	32	5	10526.761	8108.290	12248.306
32	48	1	6.580	0.240	4.170
32	48	2	10.951	3.080	10.680
32	48	3	72.732	41.481	81.781
32	48	4	804.057	524.521	892.809
32	48	5	10912.049	7912.764	12648.064
32	64	1	6.220	0.280	3.470
32	64	2	11.070	3.140	10.381
32	64	3	70.241	40.401	72.162
32	64	4	862.168	560.671	940.940
32	64	5	10775.086	8548.719	11626.403
32	96	1	6.320	0.240	3.140
32	96	2	11.391	3.170	10.170
32	96	3	82.212	42.381	87.032
32	96	4	894.918	546.612	904.459
32	96	5	11963.449	8035.878	13112.844
32	128	1	5.770	0.220	3.270
32	128	2	8.370	2.910	7.141
32	128	3	137.473	41.020	74.872
32	128	4	941.970	549.781	942.860
32	128	5	11714.795	7944.937	11766.666
32	192	1	6.130	0.220	1.870
32	192	2	8.440	2.860	5.660
32	192	3	83.281	41.241	73.462
32	192	4	909.249	556.741	862.488
32	192	5	12622.493	8053.618	11955.560
32	256	1	5.750	0.260	1.841
32	256	2	9.610	2.970	5.800
32	256	3	77.972	39.681	74.941
32	256	4	969.170	551.971	881.658
32	256	5	12071.022	7759.711	11364.537
32	384	1	8.310	0.250	2.050
32	384	2	7.590	2.850	5.890
32	384	3	80.841	39.541	74.282
32	384	4	912.369	553.121	836.338
32	384	5	12758.747	7671.220	11893.749
32	512	1	4.860	0.260	1.960
32	512	2	8.230	2.980	5.910
32	512	3	79.242	39.691	71.601
32	512	4	995.221	565.942	893.348
32	512	5	13022.441	7687.300	12015.012
48	4	1	7.270	0.260	6.341
48	4	2	9.240	2.950	10.580
48	4	3	85.511	41.301	105.402
48	4	4	969.580	589.602	1240.606
48	4	5	11453.619	7744.521	14681.147
48	6	1	8.600	0.260	7.610
48	6	2	9.991	3.010	9.950
48	6	3	72.472	40.000	78.042
48	6	4	857.808	566.232	1061.882
48	6	5	10376.678	7541.067	12484.351
48	8	1	8.571	0.290	6.320
48	8	2	9.760	2.910	17.551
48	8	3	80.472	41.720	91.362
48	8	4	972.790	566.211	1166.445
48	8	5	11686.585	7837.173	14273.148
48	12	1	6.040	0.300	3.220
48	12	2	10.000	3.220	11.800
48	12	3	72.892	43.361	80.621
48	12	4	819.817	563.191	956.420
48	12	5	10961.919	8030.289	12840.678
48	16	1	6.091	0.270	3.170
48	16	2	9.890	3.100	10.981
48	16	3	66.391	40.281	70.361
48	16	4	816.337	544.531	890.269
48	16	5	10390.518	7645.429	11854.527
48	24	1	5.710	0.270	3.150
48	24	2	10.020	3.030	10.360
48	24	3	71.752	43.321	78.741
48	24	4	813.786	538.652	943.619
48	24	5	10600.320	8354.485	12332.657
48	32	1	7.180	0.240	3.230
48	32	2	11.700	3.180	10.721
48	32	3	69.141	41.181	76.412
48	32	4	836.737	536.052	916.279
48	32	5	10958.559	8388.306	12082.862
48	48	1	6.570	0.260	3.180
48	48	2	10.971	3.310	10.880
48	48	3	76.982	41.081	84.021
48	48	4	849.218	526.781	910.339
48	48	5	11290.026	7991.646	12849.408
48	64	1	5.190	0.270	3.230
48	64	2	9.070	3.100	7.880
48	64	3	69.871	43.551	67.861
48	64	4	871.618	567.532	929.589
48	64	5	10821.066	8542.108	11601.423
48	96	1	9.821	0.250	3.120
48	96	2	11.020	3.220	13.140
